cdr_id,region_id,region_name,caller_number,callee_number,call_start,duration_seconds,call_type,bytes_transferred,network_type,rate_per_minute,charge_amount
R05-0000001,5,River-Valley,+1-829-500-1743,+1-415-661-7792,2026-06-01 05:45:10,3293,VOICE,,5G,0.08,4.39
R05-0000002,5,River-Valley,+1-934-434-4406,+1-835-354-6211,2026-06-01 23:06:51,0,VOICE,,4G,0.1,0.0
R05-0000003,5,River-Valley,+1-435-917-8288,+1-497-834-0748,2026-06-01 13:57:18,3070,VOICE,,4G,0.1,5.12
R05-0000004,5,River-Valley,+1-791-341-3709,,2026-06-01 17:43:35,2979,DATA,84417896,4G,0.0,0.84
R05-0000005,5,River-Valley,+1-583-842-9113,+1-828-545-2714,2026-06-01 05:09:08,3151,VOICE,,4G,0.1,5.25
R05-0000006,5,River-Valley,+1-736-236-7712,+1-854-200-5102,2026-06-01 08:06:27,2794,VOICE,,4G,0.1,4.66
R05-0000007,5,River-Valley,+1-315-337-8282,,2026-06-01 22:24:28,580,DATA,233929979,5G,0.0,2.34
R05-0000008,5,River-Valley,+1-746-909-7539,+1-705-240-6359,2026-06-01 10:04:36,1695,VOICE,,4G,0.1,2.83
R05-0000009,5,River-Valley,+1-638-465-5658,+1-277-283-3729,2026-06-01 14:49:00,0,SMS,,3G,0.0,0.05
R05-0000010,5,River-Valley,+1-635-925-0725,,2026-06-01 03:45:20,4161,DATA,394271881,4G,0.0,3.94
R05-0000011,5,River-Valley,+1-654-810-2102,+1-382-369-2670,2026-06-01 01:11:12,0,SMS,,4G,0.0,0.05
R05-0000012,5,River-Valley,+1-692-261-3647,+1-374-718-5759,2026-06-01 10:58:46,3032,VOICE,,4G,0.1,5.05
R05-0000013,5,River-Valley,+1-573-681-7783,+1-410-623-9383,2026-06-01 16:56:19,0,VOICE,,3G,0.12,0.0
R05-0000014,5,River-Valley,+1-785-587-2996,+1-215-280-2740,2026-06-01 10:42:11,2911,VOICE,,4G,0.1,4.85
R05-0000015,5,River-Valley,+1-683-939-9545,+1-860-857-6923,2026-06-01 05:31:09,0,SMS,,4G,0.0,0.05
R05-0000016,5,River-Valley,+1-633-853-3134,+1-968-569-3750,2026-06-01 17:42:48,2413,VOICE,,4G,0.1,4.02
R05-0000017,5,River-Valley,+1-503-496-9731,+1-465-779-1520,2026-06-01 00:00:42,0,SMS,,4G,0.0,0.05
R05-0000018,5,River-Valley,+1-913-477-7795,+1-444-282-7147,2026-06-01 20:51:00,0,SMS,,4G,0.0,0.05
R05-0000019,5,River-Valley,+1-772-979-0524,+1-628-340-8451,2026-06-01 15:29:46,3259,VOICE,,4G,0.1,5.43
