cdr_id,region_id,region_name,caller_number,callee_number,call_start,duration_seconds,call_type,bytes_transferred,network_type,rate_per_minute,charge_amount
R09-0000001,9,Goldfield,+1-791-971-1069,+1-935-325-1618,2026-06-01 04:18:00,0,SMS,,5G,0.0,0.05
R09-0000002,9,Goldfield,+1-604-530-5985,+1-919-749-7079,2026-06-01 22:14:04,0,VOICE,,5G,0.08,0.0
R09-0000003,9,Goldfield,+1-981-506-8131,+1-589-275-4167,2026-06-01 07:59:39,0,VOICE,,4G,0.1,0.0
R09-0000004,9,Goldfield,+1-251-269-2323,+1-903-785-1997,2026-06-01 13:37:14,1924,VOICE,,4G,0.1,3.21
R09-0000005,9,Goldfield,+1-676-358-0260,+1-518-683-4017,2026-06-01 17:10:17,0,SMS,,4G,0.0,0.05
R09-0000006,9,Goldfield,+1-812-327-6273,+1-768-674-7839,2026-06-01 06:54:57,0,SMS,,4G,0.0,0.05
R09-0000007,9,Goldfield,+1-513-873-1700,,2026-06-01 04:03:47,6857,DATA,331829466,4G,0.0,3.32
R09-0000008,9,Goldfield,+1-816-233-6025,+1-920-263-9328,2026-06-01 20:32:42,0,SMS,,4G,0.0,0.05
R09-0000009,9,Goldfield,+1-474-500-8442,+1-325-985-7066,2026-06-01 13:44:13,2096,VOICE,,4G,0.1,3.49
R09-0000010,9,Goldfield,+1-653-804-9710,+1-740-339-8450,2026-06-01 19:47:09,0,SMS,,4G,0.0,0.05
R09-0000011,9,Goldfield,+1-721-700-0927,+1-228-260-3299,2026-06-01 09:25:07,0,SMS,,5G,0.0,0.05
R09-0000012,9,Goldfield,+1-930-687-8123,+1-452-309-8757,2026-06-01 12:51:16,3386,VOICE,,4G,0.1,5.64
R09-0000013,9,Goldfield,+1-772-921-8208,+1-276-879-1906,2026-06-01 08:53:10,0,SMS,,4G,0.0,0.05
R09-0000014,9,Goldfield,+1-303-286-6056,+1-739-588-4321,2026-06-01 11:33:02,0,SMS,,4G,0.0,0.05
R09-0000015,9,Goldfield,+1-610-672-5565,,2026-06-01 22:09:21,2376,DATA,140479970,4G,0.0,1.4
R09-0000016,9,Goldfield,+1-299-852-0087,+1-971-643-6405,2026-06-01 07:02:37,3582,VOICE,,5G,0.08,4.78
R09-0000017,9,Goldfield,+1-355-302-1606,+1-753-211-8240,2026-06-01 11:57:06,0,SMS,,4G,0.0,0.05
R09-0000018,9,Goldfield,+1-454-551-8311,+1-201-756-2627,2026-06-01 21:52:36,0,VOICE,,3G,0.12,0.0
R09-0000019,9,Goldfield,+1-656-790-4986,,2026-06-01 04:06:38,1488,DATA,72182172,5G,0.0,0.72
R09-0000020,9,Goldfield,+1-568-572-9088,+1-918-821-9859,2026-06-01 12:26:54,0,SMS,,4G,0.0,0.05
R09-0000021,9,Goldfield,+1-972-657-6423,+1-600-927-9073,2026-06-01 19:17:32,0,SMS,,4G,0.0,0.05
R09-0000022,9,Goldfield,+1-595-287-1081,+1-677-463-0037,2026-06-01 01:46:10,2367,VOICE,,4G,0.1,3.95
R09-0000023,9,Goldfield,+1-957-256-6290,+1-247-873-9689,2026-06-01 11:51:37,0,SMS,,4G,0.0,0.05
R09-0000024,9,Goldfield,+1-565-750-3340,+1-473-306-5399,2026-06-01 14:13:02,2565,VOICE,,4G,0.1,4.28
R09-0000025,9,Goldfield,+1-982-662-1885,+1-699-549-0754,2026-06-01 08:23:46,2312,VOICE,,4G,0.1,3.85
R09-0000026,9,Goldfield,+1-271-398-1337,,2026-06-01 21:29:44,165,DATA,165234729,3G,0.0,1.65
R09-0000027,9,Goldfield,+1-702-811-7908,,2026-06-01 04:37:33,4578,DATA,73669992,4G,0.0,0.74
R09-0000028,9,Goldfield,+1-762-796-7148,+1-860-266-9325,2026-06-01 05:33:47,1416,VOICE,,5G,0.08,1.89
R09-0000029,9,Goldfield,+1-925-945-2812,+1-691-997-3014,2026-06-01 01:44:40,1527,VOICE,,3G,0.12,3.05
R09-0000030,9,Goldfield,+1-479-926-2628,,2026-06-01 11:59:01,3240,DATA,115419709,4G,0.0,1.15
R09-0000031,9,Goldfield,+1-319-743-0401,,2026-06-01 01:12:36,1766,DATA,340585564,3G,0.0,3.41
R09-0000032,9,Goldfield,+1-909-310-6591,+1-368-611-5797,2026-06-01 05:57:18,0,SMS,,5G,0.0,0.05
R09-0000033,9,Goldfield,+1-321-701-5471,+1-410-512-6679,2026-06-01 10:53:17,0,SMS,,4G,0.0,0.05
R09-0000034,9,Goldfield,+1-519-504-4225,,2026-06-01 00:50:25,2857,DATA,43025255,4G,0.0,0.43
R09-0000035,9,Goldfield,+1-528-865-1200,+1-906-267-6184,2026-06-01 13:45:43,0,SMS,,5G,0.0,0.05
R09-0000036,9,Goldfield,+1-880-415-1890,,2026-06-01 18:06:09,5479,DATA,317660624,3G,0.0,3.18
R09-0000037,9,Goldfield,+1-504-200-0499,,2026-06-01 10:58:17,972,DATA,56145123,4G,0.0,0.56
R09-0000038,9,Goldfield,+1-916-713-6260,+1-404-972-5484,2026-06-01 02:09:29,375,VOICE,,4G,0.1,0.62
R09-0000039,9,Goldfield,+1-769-343-8474,+1-947-310-1224,2026-06-01 01:10:44,873,VOICE,,5G,0.08,1.16
R09-0000040,9,Goldfield,+1-841-670-1075,+1-886-888-5223,2026-06-01 00:11:42,1337,VOICE,,4G,0.1,2.23
R09-0000041,9,Goldfield,+1-317-925-8279,+1-658-907-7815,2026-06-01 18:36:33,2140,VOICE,,4G,0.1,3.57
R09-0000042,9,Goldfield,+1-754-232-4424,+1-515-785-6329,2026-06-01 11:23:54,0,SMS,,4G,0.0,0.05
R09-0000043,9,Goldfield,+1-227-398-6135,+1-644-665-9598,2026-06-01 09:44:53,0,SMS,,4G,0.0,0.05
R09-0000044,9,Goldfield,+1-758-869-1510,+1-579-334-6053,2026-06-01 21:45:43,643,VOICE,,4G,0.1,1.07
R09-0000045,9,Goldfield,+1-750-473-0830,+1-781-567-5199,2026-06-01 04:40:23,3245,VOICE,,4G,0.1,5.41
R09-0000046,9,Goldfield,+1-703-933-5773,+1-750-247-4697,2026-06-01 22:05:04,0,SMS,,4G,0.0,0.05
R09-0000047,9,Goldfield,+1-378-458-1254,+1-975-205-3426,2026-06-01 12:06:22,725,VOICE,,3G,0.12,1.45
R09-0000048,9,Goldfield,+1-612-332-0646,+1-704-458-7566,2026-06-01 02:18:13,3168,VOICE,,4G,0.1,5.28
R09-0000049,9,Goldfield,+1-278-879-0189,+1-627-806-5509,2026-06-01 10:03:41,2938,VOICE,,5G,0.08,3.92
R09-0000050,9,Goldfield,+1-501-391-3505,+1-728-373-7559,2026-06-01 21:48:13,0,SMS,,4G,0.0,0.05
R09-0000051,9,Goldfield,+1-450-496-3249,+1-370-662-0452,2026-06-01 01:54:58,2656,VOICE,,5G,0.08,3.54
R09-0000052,9,Goldfield,+1-428-776-7467,,2026-06-01 05:33:33,435,DATA,124142741,4G,0.0,1.24
R09-0000053,9,Goldfield,+1-821-240-6167,+1-267-598-1268,2026-06-01 18:59:22,2993,VOICE,,4G,0.1,4.99
R09-0000054,9,Goldfield,+1-327-766-1338,,2026-06-01 16:43:05,5959,DATA,435692364,5G,0.0,4.36
R09-0000055,9,Goldfield,+1-493-419-2325,,2026-06-01 02:28:51,1681,DATA,458994661,5G,0.0,4.59
R09-0000056,9,Goldfield,+1-401-504-4114,+1-934-493-4973,2026-06-01 08:37:16,2303,VOICE,,4G,0.1,3.84
R09-0000057,9,Goldfield,+1-841-244-4046,+1-827-875-8742,2026-06-01 17:36:54,3115,VOICE,,4G,0.1,5.19
R09-0000058,9,Goldfield,+1-414-576-5500,+1-792-650-9791,2026-06-01 06:52:34,0,SMS,,5G,0.0,0.05
R09-0000059,9,Goldfield,+1-214-299-9389,+1-712-364-2897,2026-06-01 08:06:03,2195,VOICE,,4G,0.1,3.66
R09-0000060,9,Goldfield,+1-920-378-7904,+1-969-998-8994,2026-06-01 01:43:39,0,SMS,,4G,0.0,0.05
R09-0000061,9,Goldfield,+1-801-388-5147,,2026-06-01 05:33:29,1067,DATA,30282516,4G,0.0,0.3
R09-0000062,9,Goldfield,+1-883-410-5046,+1-247-999-6770,2026-06-01 10:01:19,0,SMS,,4G,0.0,0.05
R09-0000063,9,Goldfield,+1-961-439-6021,+1-852-454-4038,2026-06-01 07:24:50,0,SMS,,4G,0.0,0.05
R09-0000064,9,Goldfield,+1-714-201-0234,+1-942-971-1585,2026-06-01 22:38:01,0,SMS,,4G,0.0,0.05
R09-0000065,9,Goldfield,+1-709-512-8157,+1-207-373-7769,2026-06-01 04:12:36,2132,VOICE,,4G,0.1,3.55
R09-0000066,9,Goldfield,+1-805-887-8094,,2026-06-01 23:59:24,1246,DATA,432979425,4G,0.0,4.33
R09-0000067,9,Goldfield,+1-858-922-3336,+1-749-503-2825,2026-06-01 12:19:23,2988,VOICE,,5G,0.08,3.98
R09-0000068,9,Goldfield,+1-917-617-2489,+1-863-374-7389,2026-06-01 13:44:21,0,VOICE,,4G,0.1,0.0
R09-0000069,9,Goldfield,+1-904-470-2769,+1-590-405-1956,2026-06-01 12:13:42,0,SMS,,4G,0.0,0.05
R09-0000070,9,Goldfield,+1-642-696-4951,,2026-06-01 00:19:07,5928,DATA,45540134,3G,0.0,0.46
R09-0000071,9,Goldfield,+1-488-496-3600,+1-949-522-0093,2026-06-01 01:10:45,2386,VOICE,,3G,0.12,4.77
R09-0000072,9,Goldfield,+1-857-557-0244,+1-523-924-5236,2026-06-01 23:32:01,0,SMS,,5G,0.0,0.05
R09-0000073,9,Goldfield,+1-412-390-4405,+1-796-912-9536,2026-06-01 02:42:13,0,SMS,,3G,0.0,0.05
R09-0000074,9,Goldfield,+1-712-987-8409,+1-976-367-9091,2026-06-01 03:09:00,1278,VOICE,,5G,0.08,1.7
R09-0000075,9,Goldfield,+1-368-582-8184,+1-775-430-3559,2026-06-01 13:47:46,0,SMS,,3G,0.0,0.05
R09-0000076,9,Goldfield,+1-842-479-8951,+1-728-609-8425,2026-06-01 20:58:48,281,VOICE,,4G,0.1,0.47
R09-0000077,9,Goldfield,+1-476-296-9549,,2026-06-01 16:36:15,7066,DATA,388724627,4G,0.0,3.89
R09-0000078,9,Goldfield,+1-400-286-6450,+1-799-520-3402,2026-06-01 16:20:46,3516,VOICE,,5G,0.08,4.69
R09-0000079,9,Goldfield,+1-734-590-5921,+1-493-525-5579,2026-06-01 01:52:23,0,SMS,,4G,0.0,0.05
R09-0000080,9,Goldfield,+1-498-338-0695,,2026-06-01 15:51:17,6832,DATA,264035139,4G,0.0,2.64
R09-0000081,9,Goldfield,+1-597-569-8311,+1-465-689-1631,2026-06-01 09:13:45,582,VOICE,,4G,0.1,0.97
R09-0000082,9,Goldfield,+1-391-408-3403,+1-648-784-5597,2026-06-01 04:33:53,0,SMS,,4G,0.0,0.05
R09-0000083,9,Goldfield,+1-616-808-0962,+1-635-397-5263,2026-06-01 16:58:43,1626,VOICE,,4G,0.1,2.71
R09-0000084,9,Goldfield,+1-229-346-2192,,2026-06-01 01:09:21,4010,DATA,462848218,4G,0.0,4.63
R09-0000085,9,Goldfield,+1-914-585-4813,+1-868-462-8281,2026-06-01 10:36:19,2270,VOICE,,4G,0.1,3.78
R09-0000086,9,Goldfield,+1-511-297-4207,+1-248-221-5596,2026-06-01 13:28:39,56,VOICE,,4G,0.1,0.09
R09-0000087,9,Goldfield,+1-780-381-9286,+1-376-484-2118,2026-06-01 22:39:41,1936,VOICE,,5G,0.08,2.58
R09-0000088,9,Goldfield,+1-905-646-6582,+1-881-217-0617,2026-06-01 08:02:29,2153,VOICE,,3G,0.12,4.31
R09-0000089,9,Goldfield,+1-977-821-2743,+1-377-687-8985,2026-06-01 15:57:02,0,SMS,,4G,0.0,0.05
R09-0000090,9,Goldfield,+1-330-680-0069,+1-211-212-1815,2026-06-01 06:50:27,0,VOICE,,5G,0.08,0.0
R09-0000091,9,Goldfield,+1-981-419-5493,+1-376-787-5201,2026-06-01 18:12:17,2461,VOICE,,4G,0.1,4.1
