cdr_id,region_id,region_name,caller_number,callee_number,call_start,duration_seconds,call_type,bytes_transferred,network_type,rate_per_minute,charge_amount
R08-0000001,8,Pinewood,+1-930-857-0238,+1-547-959-7577,2026-06-01 14:21:53,3318,VOICE,,4G,0.1,5.53
R08-0000002,8,Pinewood,+1-973-578-6636,+1-500-234-0318,2026-06-01 14:10:32,247,VOICE,,4G,0.1,0.41
R08-0000003,8,Pinewood,+1-906-674-8663,+1-253-236-0341,2026-06-01 10:54:04,0,SMS,,4G,0.0,0.05
R08-0000004,8,Pinewood,+1-536-243-3761,+1-609-965-3932,2026-06-01 04:44:53,0,SMS,,5G,0.0,0.05
R08-0000005,8,Pinewood,+1-752-524-5671,+1-591-567-6456,2026-06-01 09:44:20,3243,VOICE,,4G,0.1,5.41
R08-0000006,8,Pinewood,+1-291-493-8246,+1-544-806-9881,2026-06-01 19:26:14,2923,VOICE,,4G,0.1,4.87
R08-0000007,8,Pinewood,+1-389-269-4107,+1-611-793-9212,2026-06-01 14:23:03,0,SMS,,4G,0.0,0.05
R08-0000008,8,Pinewood,+1-929-802-5447,+1-733-917-6849,2026-06-01 10:35:16,0,SMS,,4G,0.0,0.05
R08-0000009,8,Pinewood,+1-232-289-8254,+1-368-593-4496,2026-06-01 09:55:07,3031,VOICE,,5G,0.08,4.04
R08-0000010,8,Pinewood,+1-955-378-1982,,2026-06-01 15:31:47,2432,DATA,263658351,4G,0.0,2.64
R08-0000011,8,Pinewood,+1-674-696-9570,+1-354-668-9122,2026-06-01 16:44:46,0,SMS,,3G,0.0,0.05
R08-0000012,8,Pinewood,+1-816-225-6733,+1-289-730-9114,2026-06-01 04:50:42,3265,VOICE,,3G,0.12,6.53
R08-0000013,8,Pinewood,+1-237-243-7631,+1-327-423-1394,2026-06-01 12:47:47,2694,VOICE,,3G,0.12,5.39
R08-0000014,8,Pinewood,+1-473-858-6670,+1-805-304-5773,2026-06-01 10:58:30,1206,VOICE,,4G,0.1,2.01
R08-0000015,8,Pinewood,+1-298-610-2707,,2026-06-01 04:46:59,2913,DATA,344875059,3G,0.0,3.45
R08-0000016,8,Pinewood,+1-389-677-0774,+1-716-780-2796,2026-06-01 06:09:44,0,SMS,,4G,0.0,0.05
R08-0000017,8,Pinewood,+1-971-568-7674,+1-301-212-1776,2026-06-01 15:24:50,0,SMS,,4G,0.0,0.05
R08-0000018,8,Pinewood,+1-679-795-7883,+1-227-577-8610,2026-06-01 04:16:59,0,VOICE,,4G,0.1,0.0
R08-0000019,8,Pinewood,+1-567-495-9296,+1-865-917-4626,2026-06-01 23:08:36,0,SMS,,4G,0.0,0.05
R08-0000020,8,Pinewood,+1-525-716-9222,+1-403-386-8140,2026-06-01 18:07:14,0,SMS,,4G,0.0,0.05
R08-0000021,8,Pinewood,+1-616-739-4628,+1-679-790-4783,2026-06-01 12:54:01,1529,VOICE,,4G,0.1,2.55
R08-0000022,8,Pinewood,+1-768-339-6281,+1-449-340-4354,2026-06-01 12:15:45,325,VOICE,,3G,0.12,0.65
R08-0000023,8,Pinewood,+1-221-278-9639,+1-591-743-0431,2026-06-01 04:38:56,0,SMS,,4G,0.0,0.05
R08-0000024,8,Pinewood,+1-597-299-2562,+1-868-616-2093,2026-06-01 02:17:00,3370,VOICE,,4G,0.1,5.62
R08-0000025,8,Pinewood,+1-371-228-4112,,2026-06-01 15:53:28,4008,DATA,301603390,4G,0.0,3.02
R08-0000026,8,Pinewood,+1-871-771-3564,+1-246-876-8706,2026-06-01 14:54:15,181,VOICE,,4G,0.1,0.3
R08-0000027,8,Pinewood,+1-863-841-9268,+1-687-243-7765,2026-06-01 21:34:25,2134,VOICE,,4G,0.1,3.56
R08-0000028,8,Pinewood,+1-224-226-2265,+1-524-489-4417,2026-06-01 02:56:00,1155,VOICE,,3G,0.12,2.31
R08-0000029,8,Pinewood,+1-406-372-7401,+1-824-700-1041,2026-06-01 15:17:04,0,SMS,,4G,0.0,0.05
R08-0000030,8,Pinewood,+1-397-499-4339,+1-553-625-8953,2026-06-01 17:03:18,0,VOICE,,5G,0.08,0.0
R08-0000031,8,Pinewood,+1-739-698-9873,+1-979-977-0386,2026-06-01 13:48:22,557,VOICE,,4G,0.1,0.93
R08-0000032,8,Pinewood,+1-205-976-0923,+1-793-885-8462,2026-06-01 12:47:50,0,SMS,,4G,0.0,0.05
R08-0000033,8,Pinewood,+1-778-531-9037,+1-933-488-3654,2026-06-01 16:29:29,1322,VOICE,,4G,0.1,2.2
R08-0000034,8,Pinewood,+1-477-382-1554,,2026-06-01 14:11:18,141,DATA,220766968,4G,0.0,2.21
