cdr_id,region_id,region_name,caller_number,callee_number,call_start,duration_seconds,call_type,bytes_transferred,network_type,rate_per_minute,charge_amount
R10-0000001,10,Bayshore,+1-768-712-9045,+1-358-724-7090,2026-06-01 06:21:36,0,SMS,,4G,0.0,0.05
R10-0000002,10,Bayshore,+1-830-784-7672,+1-824-951-5829,2026-06-01 20:03:11,0,SMS,,5G,0.0,0.05
R10-0000003,10,Bayshore,+1-927-964-2507,+1-358-708-2365,2026-06-01 02:55:59,0,VOICE,,4G,0.1,0.0
R10-0000004,10,Bayshore,+1-295-985-3926,+1-881-840-0227,2026-06-01 05:01:22,271,VOICE,,3G,0.12,0.54
R10-0000005,10,Bayshore,+1-704-488-5233,+1-823-917-7498,2026-06-01 17:04:51,2961,VOICE,,5G,0.08,3.95
R10-0000006,10,Bayshore,+1-915-311-9831,,2026-06-01 05:54:45,245,DATA,201683235,4G,0.0,2.02
R10-0000007,10,Bayshore,+1-972-628-1608,+1-638-393-1519,2026-06-01 12:57:34,2597,VOICE,,4G,0.1,4.33
R10-0000008,10,Bayshore,+1-727-235-6646,+1-718-660-7932,2026-06-01 21:32:54,0,SMS,,4G,0.0,0.05
R10-0000009,10,Bayshore,+1-532-478-5737,+1-413-753-2056,2026-06-01 21:23:40,0,SMS,,4G,0.0,0.05
R10-0000010,10,Bayshore,+1-442-399-2324,+1-207-759-5842,2026-06-01 16:23:09,1110,VOICE,,3G,0.12,2.22
R10-0000011,10,Bayshore,+1-459-442-1818,+1-879-975-3060,2026-06-01 09:32:06,0,VOICE,,5G,0.08,0.0
R10-0000012,10,Bayshore,+1-892-843-2238,+1-791-503-6031,2026-06-01 16:17:19,2737,VOICE,,4G,0.1,4.56
R10-0000013,10,Bayshore,+1-747-422-4291,+1-745-826-1326,2026-06-01 13:30:14,0,SMS,,4G,0.0,0.05
R10-0000014,10,Bayshore,+1-252-455-3078,+1-310-770-5083,2026-06-01 08:39:53,1627,VOICE,,4G,0.1,2.71
R10-0000015,10,Bayshore,+1-637-964-1467,,2026-06-01 20:46:48,4030,DATA,58213148,4G,0.0,0.58
R10-0000016,10,Bayshore,+1-948-930-5381,+1-868-438-8632,2026-06-01 12:14:39,1662,VOICE,,4G,0.1,2.77
R10-0000017,10,Bayshore,+1-852-711-2287,,2026-06-01 03:40:22,1191,DATA,180708561,4G,0.0,1.81
R10-0000018,10,Bayshore,+1-333-378-1923,,2026-06-01 14:48:19,3857,DATA,241606091,4G,0.0,2.42
R10-0000019,10,Bayshore,+1-834-441-8706,,2026-06-01 10:56:50,6348,DATA,405667599,3G,0.0,4.06
R10-0000020,10,Bayshore,+1-682-755-0609,+1-659-597-6649,2026-06-01 22:12:14,2852,VOICE,,4G,0.1,4.75
R10-0000021,10,Bayshore,+1-635-539-8388,+1-863-941-6801,2026-06-01 15:50:57,0,VOICE,,3G,0.12,0.0
R10-0000022,10,Bayshore,+1-838-464-4140,+1-387-796-5924,2026-06-01 14:25:39,0,SMS,,4G,0.0,0.05
R10-0000023,10,Bayshore,+1-643-594-5033,+1-609-369-6651,2026-06-01 20:55:12,1721,VOICE,,5G,0.08,2.29
R10-0000024,10,Bayshore,+1-552-398-2743,+1-543-970-8957,2026-06-01 16:43:01,2924,VOICE,,5G,0.08,3.9
R10-0000025,10,Bayshore,+1-879-957-3907,+1-597-788-4552,2026-06-01 00:24:06,0,SMS,,4G,0.0,0.05
R10-0000026,10,Bayshore,+1-219-928-2448,,2026-06-01 16:24:39,3436,DATA,291525862,4G,0.0,2.92
R10-0000027,10,Bayshore,+1-225-952-1877,+1-891-821-3134,2026-06-01 09:55:17,0,SMS,,4G,0.0,0.05
R10-0000028,10,Bayshore,+1-321-247-7679,+1-456-251-4605,2026-06-01 19:15:29,2204,VOICE,,4G,0.1,3.67
R10-0000029,10,Bayshore,+1-563-599-7538,+1-885-623-5784,2026-06-01 04:21:24,441,VOICE,,5G,0.08,0.59
R10-0000030,10,Bayshore,+1-354-215-7043,+1-377-868-3248,2026-06-01 08:02:31,0,SMS,,4G,0.0,0.05
R10-0000031,10,Bayshore,+1-258-409-4120,+1-800-512-0327,2026-06-01 04:07:40,383,VOICE,,4G,0.1,0.64
R10-0000032,10,Bayshore,+1-245-743-2165,,2026-06-01 09:01:37,3246,DATA,296977689,4G,0.0,2.97
R10-0000033,10,Bayshore,+1-713-723-5723,+1-781-795-3838,2026-06-01 08:55:26,0,SMS,,5G,0.0,0.05
R10-0000034,10,Bayshore,+1-230-839-6397,+1-450-617-5681,2026-06-01 19:18:16,3013,VOICE,,4G,0.1,5.02
R10-0000035,10,Bayshore,+1-351-670-3852,,2026-06-01 10:25:27,1555,DATA,304495387,3G,0.0,3.04
R10-0000036,10,Bayshore,+1-239-223-6936,+1-576-238-4999,2026-06-01 10:29:16,0,SMS,,5G,0.0,0.05
R10-0000037,10,Bayshore,+1-516-450-6967,+1-611-704-4116,2026-06-01 03:33:54,0,SMS,,4G,0.0,0.05
R10-0000038,10,Bayshore,+1-579-563-5372,+1-561-555-7774,2026-06-01 13:18:48,0,SMS,,5G,0.0,0.05
R10-0000039,10,Bayshore,+1-241-788-8603,+1-245-873-3449,2026-06-01 21:05:09,0,SMS,,4G,0.0,0.05
R10-0000040,10,Bayshore,+1-669-447-8049,+1-660-426-8730,2026-06-01 11:43:39,43,VOICE,,4G,0.1,0.07
R10-0000041,10,Bayshore,+1-695-640-8788,+1-559-479-7003,2026-06-01 18:09:42,3479,VOICE,,4G,0.1,5.8
R10-0000042,10,Bayshore,+1-897-908-1862,+1-675-353-7786,2026-06-01 16:59:51,0,SMS,,5G,0.0,0.05
R10-0000043,10,Bayshore,+1-259-536-6100,+1-880-769-3466,2026-06-01 23:32:30,0,SMS,,5G,0.0,0.05
R10-0000044,10,Bayshore,+1-273-720-1559,+1-331-422-6624,2026-06-01 00:52:07,0,SMS,,4G,0.0,0.05
R10-0000045,10,Bayshore,+1-523-951-1522,+1-832-653-6405,2026-06-01 10:28:52,2433,VOICE,,5G,0.08,3.24
R10-0000046,10,Bayshore,+1-734-695-1627,+1-255-279-3168,2026-06-01 16:20:08,489,VOICE,,3G,0.12,0.98
R10-0000047,10,Bayshore,+1-982-613-0241,,2026-06-01 07:40:44,4935,DATA,237316084,3G,0.0,2.37
R10-0000048,10,Bayshore,+1-945-287-2911,,2026-06-01 14:21:48,1068,DATA,483159499,4G,0.0,4.83
R10-0000049,10,Bayshore,+1-229-832-7444,+1-348-549-7404,2026-06-01 17:29:18,0,SMS,,4G,0.0,0.05
